GeneID	NonTargeting_rep1	NonTargeting_rep2	p63KD_rep1	p63KD_rep2
AFG3L1P	1592	1654	1263	1197
AFG3L2	10302	10100	9764	9942
AFM	0	0	0	1
AFMID	537	530	404	381
AFP	0	0	1	1
AFTPH	4539	4301	5017	4924
AGA	2679	2604	3464	3281
AGAP1	4721	4322	4969	4857
AGAP11	345	361	1084	939
AGAP2	170	165	68	57
AGAP2-AS1	492	471	259	254
AGAP3	4701	4800	3811	3445
AGAP4	239	255	240	237
AGAP5	189	185	205	178
AGAP6	630	649	618	528
AGAP7	24	24	31	21
AGAP9	32	29	48	27
AGBL1	1	1	0	0
AGBL1-AS1	1	1	1	0
AGBL2	97	112	127	110
AGBL3	45	56	30	41
AGBL4	0	0	0	0
AGBL4-IT1	0	0	0	0
AGBL5	1678	1752	1289	1231
AGBL5-AS1	2	1	1	0
AGER	476	486	389	293
AGFG1	11561	10876	10490	10215
AGFG2	891	827	1149	1177
AGGF1	3397	3450	3203	3101
AGK	1814	1725	1387	1418
AGL	5333	4778	3505	3394
AGMAT	222	215	168	140
AGMO	1	0	0	0
AGO1	2095	1979	1833	1827
AGO2	1919	1782	1277	1280
AGO3	487	480	366	329
AGO4	1588	1469	1630	1572
AGPAT1	4556	4566	5887	5567
AGPAT2	1969	1807	2394	2325
AGPAT3	6714	6361	8281	7871
AGPAT4	412	366	377	403
AGPAT4-IT1	16	13	14	8
AGPAT5	2192	2235	1153	1158
AGPAT6	1963	1986	2805	2739
AGPAT9	352	310	249	286
AGPS	8419	7913	7211	7332
AGR2	195	140	427	419
AGR3	0	0	1	0
AGRN	21576	21254	36328	34295
AGRP	0	0	0	0
AGT	20	20	50	46
AGTPBP1	501	448	628	617
AGTR1	0	0	0	0
AGTR2	0	0	0	0
AGTRAP	1052	975	1686	1606
AGXT	1	1	1	1
AGXT2	0	0	0	0
AHCTF1	5890	5791	4074	4038
AHCTF1P1	30	24	9	15
AHCY	15561	15113	8862	8765
AHCYL1	13028	11964	9743	9649
AHCYL2	2004	1929	3193	3065
AHDC1	694	624	640	580
AHI1	2073	2054	1800	1746
AHNAK	82200	68870	55207	56209
AHNAK2	12353	10325	20116	19875
AHR	2848	2703	4434	4425
AHRR	202	195	219	200
AHSA1	6962	6558	5466	5455
AHSA2	3009	3266	3980	3412
AHSG	0	0	3	2
AHSP	0	0	2	1
AICDA	2	5	2	1
AIDA	3955	3879	3345	3286
AIF1	0	0	0	0
AIF1L	3868	3654	4473	4233
AIFM1	5801	5500	6994	6987
AIFM2	2620	2612	2129	2090
AIFM3	713	653	929	756
AIG1	5817	5676	9165	9062
AIM1	11445	10796	6833	6697
AIM1L	2070	2041	1546	1413
AIM2	137	122	95	103
AIMP1	5529	5411	4120	4133
AIMP2	5629	5541	4769	4699
AIP	2354	2135	2025	2027
AIPL1	0	0	0	1
AIRE	0	0	0	0
AIRN	0	0	0	0
AJAP1	0	0	0	1
AJUBA	15993	15777	5921	5895
AK1	1680	1504	1332	1265
AK2	12398	12234	10003	9836
AK3	9385	8867	9710	9789
AK4	2085	2094	711	664
AK5	0	1	0	2
AK6	1016	902	955	863
AK7	40	18	53	60
AK8	35	35	48	53
AK9	1101	1025	1084	1063
AKAP1	6107	5922	6462	6042
AKAP10	2196	2058	2510	2382
AKAP11	6437	6118	5291	5177
AKAP12	10696	9705	2354	2515
AKAP13	6298	5441	5289	5328
AKAP14	1	0	0	1
AKAP17A	0	0	0	0
AKAP2	20	11	13	15
AKAP3	8	6	3	2
AKAP4	0	0	0	0
AKAP5	52	52	51	51
AKAP6	498	461	409	431
AKAP7	618	536	391	429
AKAP8	2213	2144	2083	1934
AKAP8L	2450	2714	2854	2519
AKAP9	10414	9440	9291	9042
AKIP1	1385	1395	924	896
AKIRIN1	3845	3820	4484	4424
AKIRIN2	1827	1847	1278	1200
AKNA	254	253	144	113
AKNAD1	4	2	7	8
AKR1A1	4596	4218	4104	4021
AKR1B1	10165	9804	8642	8547
AKR1B10	619	551	160	157
AKR1B15	547	505	853	884
AKR1C1	1609	1388	450	420
AKR1C2	7274	6625	2755	2532
AKR1C3	1929	1602	563	483
AKR1C4	0	0	0	0
AKR1C6P	0	0	0	0
AKR1CL1	0	1	0	0
AKR1D1	0	1	0	1
AKR1E2	155	155	138	136
AKR7A2	1464	1452	1116	1148
AKR7A2P1	0	0	0	0
AKR7A3	10	8	7	4
AKR7L	11	18	8	11
AKT1	8895	8618	9879	9382
AKT1S1	2850	2817	2532	2382
AKT2	7055	6692	5688	5232
AKT3	10	5	7	4
AKTIP	3590	3561	5840	5752
ALAD	1671	1579	1593	1533
ALAS1	2439	2313	3053	2969
ALAS2	0	0	3	2
ALB	0	1	0	0
ALCAM	23977	21734	18279	17336
ALDH16A1	2626	2716	2226	2164
ALDH18A1	5765	5525	6956	6907
ALDH1A1	9	12	13	6
ALDH1A2	106	90	594	506
ALDH1A3	15765	16497	32409	32961
ALDH1B1	3627	3518	1947	1989
ALDH1L1	623	561	597	581
ALDH1L1-AS1	0	1	0	0
ALDH1L1-AS2	7	3	5	2
ALDH1L2	1147	1042	245	278
ALDH2	8138	7902	7802	7452
ALDH3A1	6608	6211	1099	1133
ALDH3A2	13801	13257	9091	8843
ALDH3B1	7807	7639	16178	15185
ALDH3B2	3967	3421	4676	4416
ALDH4A1	1593	1482	1309	1304
ALDH5A1	5120	4860	8114	8057
ALDH6A1	859	783	1179	1160
ALDH7A1	13658	12878	6421	6477
ALDH8A1	9	5	9	9
ALDH9A1	4044	3749	3742	3668
ALDOA	63858	60951	70178	69247
ALDOB	0	0	1	0
ALDOC	1376	1293	780	790
ALG1	1799	1767	2166	2009
ALG10	479	474	277	299
ALG10B	1456	1378	1010	974
ALG11	1015	959	938	872
ALG12	1227	1209	1942	1762
ALG13	1360	1352	1416	1455
ALG14	1273	1182	1167	1152
ALG1L	689	596	243	221
ALG1L2	2	7	0	1
ALG1L9P	16	10	17	10
ALG2	3020	3074	3680	3584
ALG3	2957	3031	3853	3621
ALG5	4204	4189	5580	5446
ALG6	1448	1363	1386	1309
ALG8	5559	5478	6535	6410
ALG9	3110	3122	2291	2314
ALK	1	0	2	2
ALKBH1	558	558	577	575
ALKBH2	772	767	464	435
ALKBH3	1882	1865	1712	1734
ALKBH3-AS1	0	0	0	0
ALKBH4	509	492	425	430
ALKBH5	4225	4391	4882	4818
ALKBH6	402	446	385	346
ALKBH7	831	805	1156	1118
ALKBH8	1125	1124	681	726
ALLC	0	0	0	0
ALMS1	1182	1136	764	737
ALMS1-IT1	54	48	18	13
ALMS1P	0	1	1	0
ALOX12	0	1	0	0
ALOX12B	16	8	2	1
ALOX12P2	392	350	281	250
ALOX15	5	1	14	13
ALOX15B	1	1	3	3
ALOX15P1	19	31	23	26
ALOX5	1619	1548	3905	3664
ALOX5AP	66	52	59	48
ALOXE3	24	14	12	13
ALPI	0	0	0	1
ALPK1	1380	1220	926	909
ALPK2	15	25	7	3
ALPK3	644	570	631	533
ALPL	0	0	0	0
